,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32
sub-R01,0,0,-0.21655,0,0.11108,11.4966,-11.46511,9.9406,-9.8184,-1.05711,0.29575,2.46513,-1.78504,-0.2803,14.99751,-15.44703,16.32211,-17.41133,1.69793,-0.29884,33.95152,-33.42861,17.04685,-16.3336,20.10995,-18.15321,12.39722,-14.08048,27.5227,-29.92459,10.45577,-11.38826,12.42213,-12.42213,-22.93415,-7.5624,-0.38459,-13.15989,-12.64623,-14.0205,-13.691,-36.26231,3.89262,4.04588,4.06607,-17.26255,12.24652,12.83555,-12.51121,-11.91903,42.14039,-24.55928,7.82163,9.44587,1.47888,2.90421,6.9878,9.55938,-27.51355,-28.67945,-40.1101,-43.83539,27.77532,28.40223,0,0,-8.52505,-16.49029,-6.14378,-8.22033,-7.91696,-16.27045,-16.35561,2.22043,-8.68878,-8.82689,-8.87244,1.99208,26.32885,27.57279,26.62144,27.69126,10.09219,4.41929,-19.93984,-17.22286,-11.81445,-11.28893,-19.73077,-18.51884,3.78249,3.82659,-0.0659,0.3168,-3.75391,-4.65564
sub-R02,0,0,-0.31298,0,-0.03704,11.88349,-12.20215,9.22729,-9.5618,-0.2775,0.22714,2.6439,-2.28058,0.09582,14.56198,-14.12815,18.26223,-19.278,1.47493,-0.13349,31.55442,-31.33435,16.46869,-17.23175,17.89112,-17.76736,12.45996,-13.07568,26.53457,-27.23604,9.95939,-10.44369,11.5357,-11.5357,-20.87597,-7.29608,-1.01898,-11.25619,-11.93011,-14.96964,-14.54324,-34.53391,2.93914,2.90054,3.13351,-16.72393,11.50417,11.64843,-11.63484,-11.38959,38.0348,-22.15153,6.09071,5.79191,2.17841,2.12926,6.4263,6.0789,-23.46254,-24.69842,-38.50252,-41.01092,23.69629,23.61447,0,0,-6.32401,-13.08212,-5.41397,-6.53678,-6.33099,-14.37241,-14.30137,2.63332,-8.38741,-8.18924,-8.21363,1.21225,21.66528,21.46411,23.31882,21.60271,4.9943,5.36124,-17.60095,-18.00613,-10.62803,-10.49364,-18.07696,-17.83488,5.13345,4.60242,4.30298,5.01537,-4.66474,-5.09943
sub-R03,0,0,-0.17386,0,0.14989,12.65997,-12.90917,10.71082,-10.24631,-0.04596,0.20122,2.2607,-2.11859,-0.27823,14.15433,-14.92238,18.08456,-19.00622,1.00789,-0.07517,34.10975,-34.01987,18.36023,-16.22576,18.78887,-19.10983,18.25612,-12.4487,20.90193,-17.52995,11.13421,-13.10983,11.96447,-11.96447,-22.92854,-7.67939,-1.10995,-12.82111,-12.69405,-15.07961,-15.08964,-34.96683,3.06965,3.00179,3.1931,-15.70825,11.77644,12.08093,-12.1367,-11.76306,37.48264,-22.57959,6.60565,7.03783,1.58941,2.03535,8.24508,8.30259,-25.95664,-26.42621,-55.50441,-55.32086,27.44541,27.3972,0,0,-9.35238,-17.49778,-6.98542,-7.58313,-7.06682,-16.86969,-17.18399,0.85187,-9.75418,-9.84058,-9.85323,1.43369,24.72709,26.16762,24.66904,24.35671,8.18389,4.96377,-18.88399,-15.19114,-12.9947,-12.57238,-20.29067,-19.12037,4.60949,4.77965,5.93043,4.68673,-5.36156,-6.07223
sub-R04,0,0,-1.02489,0,0.20933,13.43789,-12.86741,9.67305,-10.79068,-1.88987,0.1149,2.61094,-2.01283,0.15753,16.45731,-16.60899,18.79459,-19.57409,-0.04213,-0.09758,36.65234,-36.0433,17.83141,-16.90995,18.64362,-22.05414,10.9106,-17.30467,17.3927,-18.35955,12.69331,-12.75366,12.20099,-12.20099,-23.31586,-10.59235,-1.79625,-11.43764,-14.50321,-15.23773,-15.46255,-35.24068,2.65266,3.45496,2.30021,-16.02598,12.12097,12.31792,-12.22149,-12.02979,38.04999,-24.43555,9.08972,2.31624,3.12976,0.49702,10.81901,5.36976,-25.18925,-31.56194,-58.85302,-68.81665,27.84427,26.68453,0,0,-8.7227,-16.52855,-5.37655,-5.36988,-6.88315,-16.18284,-17.87463,1.0288,-7.53041,-7.54479,-7.75459,2.73346,25.93732,24.22119,28.37782,27.13155,8.39612,8.08615,-20.29967,-18.08522,-11.93824,-13.7493,-19.52517,-22.01305,8.62666,7.58119,12.00723,2.6321,-6.78149,-7.68648
sub-R05,0,0,-0.30176,0,0.0701,11.22664,-11.85696,9.94789,-10.4099,-0.62169,-0.03232,1.90902,-2.20047,-0.16165,13.12901,-13.29271,15.04429,-16.82901,0.58593,-0.23314,29.28114,-29.94011,13.09761,-14.70735,16.25162,-16.74359,11.22957,-12.96208,15.97919,-23.12255,11.21595,-11.27028,14.83974,-14.83974,-27.46472,-11.94517,-0.45635,-15.93076,-15.93457,-19.74797,-20.44518,-44.22558,3.96359,4.1029,4.15519,-20.03657,15.5409,15.43694,-14.4832,-14.44769,44.37109,-25.47782,3.06296,3.20423,3.46939,2.72326,5.13411,5.87225,-29.13559,-30.51127,-71.04649,-68.18606,28.22711,27.60062,0,0,-9.6014,-18.09505,-7.54025,-6.51646,-7.62196,-18.01247,-18.40916,-0.14246,-10.20164,-10.18188,-10.21299,2.27557,27.84822,26.02237,28.54026,25.57342,10.42405,8.64604,-15.64928,-14.96827,-11.75651,-12.35591,-19.83379,-21.30502,5.07991,5.22703,1.16989,2.02622,-5.67886,-7.08266
sub-R06,0,0,-0.04685,0,-0.02806,11.76986,-11.17664,10.14142,-10.03291,0.28725,-0.09996,2.05219,-2.37094,0.2377,16.04408,-13.62786,18.94605,-18.47502,0.36557,0.13377,33.52448,-33.97806,16.30164,-17.631,24.18502,-24.18535,18.13152,-15.36111,19.47712,-18.397,11.64803,-11.73186,11.58808,-11.58808,-23.08117,-10.4485,-0.4341,-13.29637,-13.23171,-16.96777,-16.68474,-33.54205,2.01512,2.0472,2.26726,-16.61544,12.27303,12.34205,-11.32944,-11.2899,39.65191,-20.97062,3.86993,5.37837,0.6903,1.63024,6.09477,7.75823,-26.31704,-24.693,-57.84546,-52.85138,24.746,25.65663,0,0,-7.41567,-17.04801,-6.76265,-6.7426,-6.66589,-16.5001,-15.40301,5.25857,-10.66659,-9.69439,-9.65006,2.13866,23.26871,24.21293,23.89941,23.70776,5.27296,6.22654,-18.95813,-17.89711,-12.27878,-11.91007,-23.22688,-22.89743,4.19194,5.20427,5.78243,9.6717,-6.90021,-7.13329
sub-R07,0,0,-0.1757,0,-0.04281,12.9778,-11.55183,10.7035,-10.90797,0.3175,-0.11874,2.25036,-2.26078,-1.17381,16.57701,-18.22767,19.58841,-18.6649,-0.39437,0.37201,31.95845,-32.4811,18.68994,-15.95664,17.60536,-19.27967,11.96924,-8.99265,17.83188,-20.00864,11.09786,-12.45878,12.21768,-12.21768,-23.67694,-8.93268,-0.41858,-13.60204,-13.55418,-16.27893,-16.44024,-39.51054,2.98486,3.20217,3.46761,-19.69012,12.29228,12.04435,-12.1461,-12.42896,43.07815,-32.12676,6.91741,8.74009,0.38156,1.62752,8.1886,6.97359,-33.52925,-34.74233,-67.55188,-65.46956,24.94337,24.2657,0,0,-10.42392,-16.48721,-6.46877,-8.61088,-7.79448,-18.38416,-16.94553,-3.66431,-9.56648,-9.31266,-9.20775,0.69261,26.98308,28.66665,28.66072,29.84359,10.1152,2.63299,-22.08793,-19.24477,-13.14883,-12.84261,-22.24826,-20.97997,1.69356,2.68908,-5.62002,-4.56308,-7.5915,-7.89106
sub-R08,0,0,-0.16239,0,-0.12145,11.16545,-10.13717,10.36119,-9.86955,0.30465,-0.22866,1.85412,-2.7122,-0.1349,13.28064,-12.14373,17.6875,-16.14678,0.42633,0.58437,31.5833,-32.64751,17.89966,-16.14769,17.14503,-18.21323,11.30219,-10.61727,19.05832,-14.59587,10.42607,-12.85626,12.505,-12.505,-24.61031,-11.29913,-1.50815,-15.68447,-14.89583,-17.56866,-17.25012,-41.8314,1.7318,1.97482,2.47658,-16.42908,12.56802,12.40505,-12.46655,-12.56845,42.46355,-27.14582,3.46329,6.37965,-0.42769,2.43935,4.66537,7.95464,-29.71139,-29.29886,-64.55557,-68.81602,25.94861,28.12528,0,0,-8.13686,-15.43876,-6.05814,-8.5728,-8.1001,-16.20137,-16.22052,1.95036,-7.8215,-7.78516,-8.17352,1.86741,22.26003,24.89408,24.77021,26.26707,10.68578,6.90794,-18.97915,-17.73096,-11.72851,-12.08913,-20.81274,-21.43856,3.68784,3.77636,4.27099,2.77387,-5.43825,-5.08258
sub-R09,0,0,-0.10981,0,-0.03381,11.71783,-10.92465,10.04402,-9.69478,0.32533,-0.05974,1.87556,-2.08376,0.13807,12.46235,-12.63498,17.11796,-16.29613,0.05883,-0.08623,30.37157,-32.38224,13.96075,-14.95569,17.0252,-17.85599,15.41302,-13.74552,26.76759,-23.85734,11.1549,-12.24973,12.09863,-12.09863,-23.17308,-9.08818,-0.70131,-12.24971,-12.16492,-15.72898,-15.25572,-36.08557,2.80416,3.18724,3.53376,-16.12047,12.03158,12.10786,-12.22372,-12.07838,40.86083,-21.56192,5.03389,3.31001,3.18698,3.30871,8.9341,8.24154,-26.25859,-25.51513,-43.72769,-42.13058,26.08327,26.69399,0,0,-8.14982,-15.74853,-6.12783,-7.25181,-7.45105,-16.63067,-16.56742,1.84836,-8.92996,-8.76442,-8.6928,1.51271,22.39369,23.708,24.37128,24.02248,8.32758,4.39416,-18.94819,-18.01857,-12.12307,-12.51,-18.63397,-17.74564,4.51361,4.10958,2.10052,1.47373,-5.05789,-5.48091
sub-R10,0,0,-0.33984,0,-0.20752,10.4762,-12.29293,9.38744,-10.17652,-0.44876,-0.0258,2.27462,-3.02549,-0.16862,16.71391,-14.33838,18.79975,-18.59263,0.90949,-0.59451,34.24554,-36.47768,17.22791,-17.19925,19.35165,-24.93439,13.15982,-18.17588,19.83518,-16.25357,13.35419,-14.04189,13.08653,-13.08653,-24.78991,-8.88281,-0.31338,-14.17152,-15.15497,-18.72121,-17.31857,-38.01867,3.03051,3.35238,3.09745,-18.46937,13.06289,13.34941,-13.1688,-12.87569,40.0517,-24.74014,5.93233,3.29782,2.78487,1.79679,9.44543,5.27458,-26.92027,-31.57805,-56.11977,-69.2961,27.33977,28.24158,0,0,-7.59138,-13.87713,-5.85634,-6.60496,-6.56516,-16.52645,-13.63845,-0.36488,-8.70771,-8.4412,-8.55862,1.79491,24.73337,25.32147,26.25595,26.54698,10.62543,4.841,-21.11944,-15.84762,-12.96853,-11.35967,-24.43925,-21.02024,3.38095,1.77822,3.12609,-3.89684,-6.65726,-4.50405
sub-ADNI067S2304,0,0,0.27853,0,-0.60627,13.36189,-14.53138,10.86622,-11.0747,-0.50921,0.25268,2.99934,-3.13806,0.13477,14.94033,-14.26967,19.36283,-17.81761,-0.46402,-0.06573,33.59272,-34.63209,17.8858,-17.84092,27.00373,-27.34571,15.19846,-14.42538,18.19931,-17.9306,12.65414,-14.09149,14.0459,-14.0459,-26.21313,-13.23231,-5.1057,-14.24928,-15.85365,-21.32903,-22.99984,-36.79585,1.53396,2.18878,1.62881,-17.90823,14.09016,14.02715,-14.00506,-14.08041,47.65258,-25.47353,5.30439,1.96914,-0.03408,-1.30663,5.84023,3.23765,-27.39548,-32.38665,-67.26602,-77.37026,28.77303,26.63605,0,0,-7.65806,-16.27883,-7.03003,-6.19318,-5.68017,-17.84601,-17.54785,-0.67945,-8.15492,-8.65739,-8.47702,1.48534,30.58768,31.61881,27.7884,29.75245,6.861,2.51067,-22.57235,-17.46326,-14.53794,-12.56264,-24.69859,-22.63853,0.87738,0.10309,3.96373,0.92295,-7.22688,-5.89094
sub-ADNI068S2187,0,0,-0.02562,0,0.0773,10.56093,-10.3875,9.87055,-9.01818,-0.32802,-0.35133,2.16586,-2.55324,0.12071,13.69162,-14.3056,15.64294,-17.07376,0.30822,-0.93868,32.55846,-34.71702,16.78937,-21.90856,20.10312,-21.6028,12.62057,-15.10949,16.78911,-21.89262,10.14876,-13.25443,14.06728,-14.06728,-25.37399,-9.73729,-2.27115,-14.46142,-14.5803,-17.58603,-16.70156,-41.53917,3.86546,2.90013,3.17511,-19.92486,14.05322,14.08034,-14.08364,-14.05115,42.36312,-28.67319,7.05397,4.06596,1.30163,0.48935,7.17608,6.25036,-29.73246,-30.57255,-68.02972,-66.74397,28.47582,27.18085,0,0,-9.85127,-16.06617,-6.34251,-8.07293,-8.67253,-17.79463,-17.93912,-2.81773,-8.16263,-7.66548,-7.8792,1.96484,27.64488,27.21128,28.20413,26.1772,10.45523,3.39603,-18.59076,-18.04387,-12.1392,-14.07379,-21.15942,-25.13233,2.81876,2.56488,-2.71558,-0.0584,-3.22739,-6.67839
sub-ADNI100S6273,0,0,0.17831,0,0.11296,10.01141,-10.42723,9.52201,-8.89576,-0.92095,0.25348,2.22698,-1.60562,0.32299,11.71069,-12.54709,13.82556,-14.02609,0.0,-0.36634,31.61455,-29.15412,16.25465,-15.49549,24.87757,-23.67201,12.80086,-12.29698,16.07037,-16.84897,11.12707,-11.51539,12.48327,-12.48327,-23.5174,-10.36294,-2.01874,-13.73271,-13.3675,-17.02811,-15.99982,-40.94416,3.48319,3.80517,3.88018,-20.17726,11.72315,12.62871,-13.31756,-12.28713,41.1397,-26.72229,3.04759,3.55921,1.65029,1.30174,4.46315,4.40418,-27.47782,-27.83504,-66.47743,-64.27904,26.74327,26.45739,0,0,-9.202,-15.4406,-6.30554,-7.44694,-7.62843,-16.66614,-16.37221,-0.67576,-9.45856,-8.6458,-8.57273,2.99816,25.0372,23.8495,25.94012,25.11506,7.32389,5.41307,-14.42241,-12.38897,-9.34305,-12.03741,-17.94882,-20.72963,4.43402,2.73603,-1.56985,-1.85835,-4.83772,-5.53533
sub-ADNI127S4210,0,0,-0.26005,0,0.0377,12.70015,-12.03917,9.83809,-11.23034,0.29902,0.20798,2.3209,-2.46648,0.18976,16.32282,-15.70212,19.95606,-18.02589,0.5099,0.62711,32.55052,-32.93184,20.85744,-21.10756,23.4792,-26.02771,15.95844,-20.38042,22.28288,-17.94409,12.45117,-14.28244,13.68051,-13.68051,-26.76314,-11.25731,-3.46233,-14.84997,-16.4586,-23.60994,-23.78011,-43.98224,3.54771,3.73433,3.13056,-19.72258,13.48453,13.44785,-13.73159,-13.77564,42.44184,-24.75474,6.82219,4.18281,1.95258,0.69125,7.47323,3.51513,-25.44121,-30.20725,-65.60128,-69.23518,31.62004,28.4877,0,0,-7.37641,-13.6484,-6.58941,-7.15932,-7.40745,-17.51591,-16.92188,2.06843,-7.13957,-6.23634,-6.38465,2.9578,23.28232,24.11347,23.12103,24.60642,9.17322,6.92971,-23.7786,-20.4155,-9.96233,-9.92206,-22.91764,-22.01974,2.96034,1.09594,5.01501,6.4157,-5.83962,-7.82083
sub-ADNI130S4817,0,0,-0.30921,0,0.04319,11.28918,-11.58943,10.04406,-10.17767,-0.16611,0.34695,2.91965,-2.54863,-0.44276,14.109,-17.42662,17.78907,-21.35826,-0.87644,-0.73114,31.85687,-30.88283,17.72582,-19.26914,24.49605,-19.93389,14.06131,-15.13807,17.8134,-17.39304,11.22684,-12.68224,13.82067,-13.82067,-23.64565,-11.5653,-5.51262,-14.69158,-15.40198,-19.31134,-19.3332,-41.4906,2.45576,2.71168,2.21183,-20.16012,14.30899,14.27222,-13.27532,-13.31478,45.99751,-23.40371,6.12359,3.09896,1.81809,-0.60582,6.92355,5.82582,-27.88522,-29.42206,-65.60356,-66.78055,31.85578,28.69198,0,0,-7.05343,-14.83768,-6.62775,-6.81968,-8.28189,-16.98766,-17.54976,0.49099,-9.7361,-9.06726,-9.41892,3.73614,27.67395,24.98263,30.31736,28.16065,6.42887,6.30662,-18.08942,-19.8368,-11.86698,-13.08167,-18.6953,-22.43975,4.56361,2.91858,5.30828,4.54559,-5.51969,-9.24292
sub-ADNI135S4446,0,0,0.06854,0,-0.03026,10.22138,-10.04881,10.11634,-8.43564,-0.7629,-0.51448,1.14458,-3.20414,-0.57355,13.25933,-14.11772,15.0363,-17.34159,-0.36954,-0.46235,29.59914,-30.15901,16.10999,-17.92838,20.15083,-20.49201,16.25427,-18.39723,15.44949,-20.06617,11.16732,-11.96163,13.00296,-13.00296,-23.13651,-8.44376,-2.82372,-14.5866,-14.95122,-17.28371,-18.01423,-39.13208,3.45974,3.57504,3.39938,-18.99162,12.65511,12.80572,-13.21765,-13.05095,39.3527,-22.86403,8.19797,5.40172,4.43359,0.77219,9.97854,8.41019,-29.92133,-31.72789,-62.72898,-66.31848,29.83893,28.33977,0,0,-7.3197,-13.99652,-4.7511,-6.92475,-7.94759,-15.64935,-16.61694,-2.01825,-6.49924,-5.0956,-6.01521,2.81541,26.98095,24.33659,25.83816,23.77311,8.9119,5.63639,-18.5124,-20.39851,-12.71221,-12.13008,-20.59039,-22.43616,3.12668,2.06925,-0.44651,0.67122,-4.05529,-5.0397
sub-ADNI135S6104,0,0,-0.05856,0,0.16932,10.77752,-8.29864,9.68579,-9.16329,0.37723,0.24192,2.38097,-2.32695,0.24298,15.17637,-17.0106,18.09245,-18.34098,0.22959,0.21713,32.47788,-30.51465,18.01599,-18.18151,23.00884,-20.68958,16.97764,-9.62611,23.45271,-16.23187,11.99721,-11.63286,12.82897,-12.82897,-25.04775,-13.63896,-4.44487,-16.36514,-17.20505,-21.38599,-19.01313,-44.30062,1.9031,2.02667,1.91524,-20.99618,12.82561,12.83616,-12.83827,-12.82181,42.22435,-28.30073,3.91735,3.90753,-0.59772,-0.62272,5.75975,6.1631,-28.03961,-26.5844,-67.13291,-70.08062,28.81624,28.35162,0,0,-7.15021,-16.58585,-6.62089,-6.01794,-5.74345,-16.3631,-15.80682,5.64081,-9.1655,-8.66095,-8.67808,3.36855,27.71589,27.95716,28.63659,27.09834,9.0017,6.95695,-20.15501,-22.37875,-12.31368,-14.14091,-20.81368,-23.86462,4.43247,0.93667,4.8036,0.80215,-4.62588,-7.18407
sub-ADNI137S6906,0,0,0.01408,0,-0.35185,10.55591,-10.51459,9.51876,-9.69959,0.5536,-0.0891,2.10119,-2.60871,-0.12804,12.10197,-11.83982,14.56327,-13.99549,-0.74239,-0.06185,28.29882,-31.11999,15.06139,-17.0768,17.99965,-23.34089,12.05996,-15.68366,19.21885,-16.8921,11.31384,-11.97056,13.13068,-13.13068,-24.05491,-8.28992,-2.75685,-14.4041,-14.49099,-15.49598,-16.76203,-40.3571,4.03437,4.71593,4.35868,-22.09409,13.16219,13.10042,-13.09223,-13.16611,42.42565,-25.0054,9.50401,7.43487,4.82305,1.64432,11.7469,9.49933,-29.31425,-31.79925,-62.55785,-64.66855,31.37411,28.58754,0,0,-8.00471,-14.7926,-6.60733,-6.97653,-7.72826,-16.93963,-17.1773,0.25487,-8.56886,-7.69209,-8.11624,4.83278,25.76913,24.89294,26.49208,25.64616,10.16095,8.45633,-18.89692,-18.56226,-11.14808,-11.0244,-22.13354,-20.98674,5.85012,4.32487,4.41057,3.49091,-2.00526,-4.1926
sub-ADNI141S6240,0,0,-0.19273,0,-0.35035,9.99045,-11.36283,9.12424,-10.93452,-0.84287,-0.24601,2.27155,-2.80297,-0.58692,15.26987,-14.38471,19.35443,-18.49817,0.87428,-0.29982,33.84035,-33.51844,16.52862,-17.31391,16.61388,-19.73843,19.35286,-15.97255,17.4242,-20.09901,10.24997,-13.46136,13.29078,-13.29078,-23.56316,-10.00784,-3.89956,-16.21036,-16.03536,-17.08419,-17.68836,-34.50755,2.16468,2.56456,2.55587,-21.70064,13.29623,13.77111,-13.49249,-12.88686,42.80774,-23.27925,3.78592,4.69387,1.41057,1.42832,6.19228,6.69082,-27.61858,-27.08348,-65.45654,-66.20314,24.97403,23.24315,0,0,-6.75998,-15.00125,-6.24733,-3.28022,-3.22953,-16.26891,-17.20623,1.94863,-8.23254,-7.45144,-7.57657,1.65803,23.00807,24.6916,24.80026,25.79456,4.90964,4.9558,-20.57588,-17.36062,-11.98162,-11.15712,-18.65579,-19.07941,2.21772,2.91946,3.82334,4.89762,-7.46177,-7.74339
sub-ADNI168S6064,0,0,0.36827,0,-0.35035,11.27929,-11.43043,9.70738,-9.56229,-0.92396,-0.15448,2.33698,-2.6538,0.12311,15.39738,-16.34632,18.92491,-17.86751,-0.29624,-0.54699,33.73012,-34.05367,17.77998,-18.4953,19.41122,-19.09667,12.4179,-14.68677,17.32683,-18.08548,10.92402,-12.85494,12.27156,-12.27156,-20.98464,-8.3319,-2.61931,-12.69937,-13.0898,-14.04875,-14.6466,-32.65508,2.97431,2.97292,2.97391,-19.21036,12.46508,12.46838,-12.31699,-12.31016,41.97939,-23.16594,8.12935,5.2575,2.01301,0.91097,9.1555,7.44208,-24.92096,-28.17533,-64.36304,-63.19029,29.50946,28.15763,0,0,-6.96276,-13.65319,-5.44818,-6.03527,-5.89925,-15.91953,-15.17912,2.64294,-7.90405,-7.15288,-6.92689,1.64173,28.52422,27.396,27.73741,27.4903,8.62554,6.15528,-18.52296,-17.06479,-11.88035,-10.57796,-17.90562,-17.12535,5.45298,5.03851,-0.0547,3.96494,-3.75768,-5.28205
sub-103111,0,0,0.16685,0,-0.05493,11.21158,-11.5865,11.06579,-11.12613,-0.53163,-0.07903,2.14751,-2.18931,0.43837,16.33669,-15.34096,17.92762,-17.12702,1.56989,0.40246,33.51039,-32.88234,16.71081,-19.05095,18.31103,-18.82439,11.91985,-10.52501,16.90017,-15.53474,11.04826,-14.14264,14.16396,-14.16396,-24.59272,-7.86837,-2.01019,-16.77088,-16.05671,-16.78737,-15.50656,-39.53048,4.64902,4.97355,4.30138,-20.85097,14.38432,16.9598,-14.29298,-14.40585,44.78383,-31.70989,5.20961,3.98949,2.22003,1.28445,7.29162,9.11778,-31.86496,-37.08928,-77.23585,-82.81751,32.89892,28.16365,0,0,-10.57684,-15.3939,-6.7008,-8.96711,-7.50355,-18.24169,-18.54266,1.74049,-9.62876,-10.09857,-9.91036,2.67491,27.63688,28.4771,29.54995,29.75172,9.22051,6.18964,-20.24661,-18.75237,-13.22235,-11.73324,-23.5504,-24.04859,5.62615,5.44577,2.28425,-0.5344,-7.54298,-8.42616
sub-105014,0,0,-0.37243,0,0.39004,11.07727,-11.88824,9.60194,-10.10229,-0.962,-0.10011,2.1208,-1.45617,-0.58749,15.71022,-14.03991,17.47172,-16.12909,1.7282,-0.21225,31.33391,-33.56292,16.89388,-17.22764,18.02137,-19.55332,12.35098,-10.77661,17.49165,-20.66292,11.62493,-12.91665,13.07089,-13.07089,-24.16862,-7.29151,-1.31949,-15.00329,-12.81963,-16.46716,-15.44937,-42.78142,4.52029,3.75716,4.25538,-20.21129,12.74184,13.1906,-13.01647,-12.74986,44.02631,-29.61424,5.41264,5.85358,1.86952,3.26476,8.58878,9.8278,-33.39228,-30.64597,-72.97303,-68.85061,27.07913,28.47498,0,0,-9.82767,-15.80859,-7.59275,-8.17786,-7.65442,-17.5769,-15.89313,3.21119,-10.93482,-9.26503,-9.15719,2.19905,24.63787,25.63333,25.03778,25.54107,5.78854,5.58191,-16.80585,-15.70368,-9.5063,-9.4844,-20.62634,-21.49291,4.61683,4.06026,-0.16236,3.18218,-5.69366,-7.14411
sub-108828,0,0,0.10202,0,-0.15272,10.88731,-11.56235,10.47052,-10.19472,0.23251,-0.21093,2.1201,-2.32741,0.05934,17.1948,-14.94908,18.56602,-18.07908,0.46853,0.16325,29.87945,-30.67944,16.46134,-18.25945,21.84813,-19.30453,10.23888,-11.84388,21.04122,-16.60496,11.06992,-13.15144,13.48539,-13.48539,-27.33659,-12.53419,-2.60176,-15.44651,-16.5121,-19.66973,-19.44123,-41.35746,3.7393,3.83194,3.55185,-16.32643,13.35675,12.68341,-13.4051,-14.19442,39.57352,-26.33235,6.41253,4.13356,3.67806,0.68905,7.61993,7.63443,-27.84293,-29.83742,-67.20321,-69.939,28.68159,28.33145,0,0,-10.76346,-17.32113,-7.86394,-7.84495,-7.85347,-17.81902,-18.45862,-1.68765,-12.01081,-10.2873,-10.23673,2.58137,29.34575,27.55691,28.6415,28.15159,10.19044,5.6166,-23.21677,-20.75535,-13.33415,-12.37264,-23.94392,-22.31292,2.51979,2.12763,6.02817,7.03314,-5.13443,-5.98846
sub-113922,0,0,-0.57304,0,0.46005,10.05723,-11.21361,9.24436,-9.47216,-1.7359,0.34519,2.13712,-1.34632,-0.94186,16.24548,-17.46276,15.82265,-18.79292,0.07936,-0.09568,31.99646,-29.55107,16.31806,-14.94338,17.99548,-15.37772,10.99145,-11.59862,19.42485,-18.35951,12.67052,-11.121,13.22561,-13.22561,-25.96318,-11.59458,-2.07366,-16.18354,-14.91805,-21.60187,-20.6,-47.09598,2.65254,2.85388,2.98287,-20.8586,12.945,12.92707,-14.51308,-14.02989,42.12344,-30.61641,3.66501,3.06222,-0.39366,0.42414,6.8186,8.03219,-30.87978,-29.78222,-68.55525,-71.75158,26.29616,26.64158,0,0,-8.12025,-15.70261,-7.45866,-5.70859,-4.54333,-15.90032,-16.17929,0.38347,-11.93313,-9.65486,-10.01091,2.63213,29.41144,28.81562,29.57057,28.01819,11.28013,7.84663,-17.89547,-17.88185,-12.6623,-11.47319,-22.60023,-19.6915,6.50081,3.90669,6.44216,6.34776,-7.90008,-7.42208
sub-115320,0,0,-0.18772,0,0.06199,10.24012,-11.07965,9.748,-9.60571,-0.80844,0.10677,1.99838,-2.02511,0.04408,12.89631,-13.77088,16.51607,-16.42903,0.86606,-0.18462,31.52405,-29.1716,15.70088,-15.34134,17.80022,-16.45042,12.86946,-12.26625,19.32041,-25.38231,11.3275,-10.93072,12.7908,-12.7908,-22.92556,-7.56624,-1.29794,-13.04417,-13.6807,-14.31383,-14.9206,-39.70956,4.23712,4.61689,4.34239,-16.30285,13.93291,12.65872,-13.80513,-13.72625,40.79246,-25.09796,6.94078,6.79173,2.89047,1.54774,8.29098,6.50503,-25.74133,-28.72805,-59.49768,-45.50094,30.45697,27.56725,0,0,-9.19409,-15.12445,-6.55962,-7.98791,-7.80271,-15.60426,-16.27032,3.24641,-10.94614,-9.65437,-9.85077,2.31905,25.99486,25.4256,25.88644,25.63635,9.23366,5.90474,-18.31577,-18.68741,-10.59432,-11.73733,-17.92312,-19.36282,3.98666,4.13374,6.26269,0.11103,-1.02014,-3.69437
sub-122620,0,0,0.14642,0,0.1434,10.43137,-10.4952,9.32366,-9.66978,0.2301,-0.19309,1.38872,-1.71206,0.17274,13.54446,-10.61314,17.87603,-15.41972,0.35694,-0.04471,31.03251,-29.71125,17.20291,-17.1749,17.61703,-21.42145,10.59066,-12.40189,19.41337,-23.9183,9.92116,-11.29111,13.02836,-13.02836,-25.78482,-12.51175,-1.95422,-15.08493,-16.09113,-18.27714,-19.90996,-42.84899,2.72834,2.99493,2.79143,-17.09023,12.43148,11.96383,-14.46044,-14.58218,43.04893,-27.95498,6.1193,5.1021,1.66795,0.70258,8.46046,7.14938,-31.52607,-32.53382,-61.53102,-58.8766,28.40201,26.76954,0,0,-8.33678,-14.88408,-5.98296,-6.25965,-5.96183,-16.70554,-16.61039,3.38077,-10.30825,-10.01604,-8.69178,3.51729,24.51612,23.64784,25.20141,25.19442,5.95183,8.3931,-19.20011,-20.37642,-12.67877,-13.00566,-21.82113,-23.42311,7.78618,7.24072,7.87729,9.67678,-6.8239,-7.86802
